studbook_id,slug,wiki_born,wiki_died,isb_birth,isb_birth_norm,isb_approx,isb_sex,isb_taxon,isb_name,isb_sire,isb_dam,isb_death
0760,ren-2007-06-14,2007-06-14,2026-03-29,14 Jun 2007,2007-06-14,False,M,styani,JAZGA,9590,0084,
0761,tekka-2007-06-14,2007-06-14,2015-10-31,14 Jun 2007,2007-06-14,False,M,styani,JAZGA,0277,0256,
0762,maki-2007-06-14,2007-06-14,2017-05-16,14 Jun 2007,2007-06-14,False,F,styani,JAZGA,0277,0256,
0764,rin-rin-2007-06-21,2007-06-21,,21 Jun 2007,2007-06-21,False,M,styani,JAZG,0279,01108,
0767,syurara-2007-06-23,2007-06-23,2016-10-01,23 Jun 2007,2007-06-23,False,M,styani,,01103,0088,
0768,xianchi-2007-06-26,2007-06-26,,26 Jun 2007,2007-06-26,False,M,styani,SANCHI,9791,9988,
0769,shiryu-2007-06-26,2007-06-26,,26 Jun 2007,2007-06-26,False,F,styani,SHIIRYUU,9791,9988,
0770,run-run-2007-06-28,2007-06-28,,28 Jun 2007,2007-06-28,False,M,styani,JAZGA,98024,9991,
0771,mei-mei-2007-06-28,2007-06-28,,28 Jun 2007,2007-06-28,False,F,styani,JAZGA,98024,9991,
0772,shun-shun-2007-07-01,2007-07-01,2011-11-16,1 Jul 2007,2007-07-01,False,M,styani,JAZGA,01111,0262,
0774,fuumi-2007-07-11,2007-07-11,2023-12-14,11 Jul 2007,2007-07-11,False,F,styani,,0366,0361,
0775,furin-2007-07-11,2007-07-11,,11 Jul 2007,2007-07-11,False,F,styani,,0366,0361,
0780,kiki-2007-07-25,2007-07-25,,25 Jul 2007,2007-07-25,False,F,styani,JAZGA,9998,9992,
0782,kokoro-2007-09-06,2007-09-06,2019-07-29,6 Sep 2007,2007-09-06,False,F,styani,KOKORO,0263,0362,
0805,takeo-2008-06-29,2008-06-29,2023-05-10,29 Jun 2008,2008-06-29,False,M,fulgens,,9803,0204,
0806,bailey-2008-06-01,2008-06-01,2019-01-01,1 Jun 2008,2008-06-01,False,F,styani,,0008,0257,
0821,tai-2008-05-26,2008-05-26,2022-09-02,26 May 2008,2008-05-26,False,F,styani,,0085,0097,
0822,pip-2008-05-26,2008-05-26,2020-01-08,26 May 2008,2008-05-26,False,F,styani,,0085,0097,
0826,ralphie-2008-05-25,2008-05-25,,25 May 2008,2008-05-25,False,M,styani,,0304,0259,
0862,marimo-2008-06-24,2008-06-24,,24 Jun 2008,2008-06-24,False,F,styani,MARIMO,97111,9991,
0863,sora-seina-2008-06-16,2008-06-16,2020-11-18,16 Jun 2008,2008-06-16,False,M,styani,SORA,0096,0086,
0864,lala-2008-06-16,2008-06-16,,16 Jun 2008,2008-06-16,False,F,styani,RARA,0096,0086,
0865,kuu-2008-07-03,2008-07-03,2021-02-20,3 Jul 2008,2008-07-03,False,F,styani,KU,01112,00103,
0867,rai-rai-2008-07-01,2008-07-01,2022-02-13,1 Jul 2008,2008-07-01,False,M,styani,RAI-RAI,01103,9788,
0869,chiita-2008-06-27,2008-06-27,,27 Jun 2008,2008-06-27,False,M,styani,KUUTA,0366,0361,
0870,kuuta-2008-06-27,2008-06-27,2020-12-12,27 Jun 2008,2008-06-27,False,M,styani,CHIITA,0366,0361,
0871,kai-2008-06-16,2008-06-16,,16 Jun 2008,2008-06-16,False,M,styani,KAI,98035,0280,
0872,sora-nami-2008-06-16,2008-06-16,,16 Jun 2008,2008-06-16,False,F,styani,SORA,98035,0280,
0873,ren-2008-06-21,2008-06-21,,21 Jun 2008,2008-06-21,False,M,styani,REN,0276,0271,
0874,ruru-2008-06-21,2008-06-21,,21 Jun 2008,2008-06-21,False,F,styani,RURU,0276,0271,
